"sequence","support","pattern"
"<{M},{H},{A}>",0.00747478134518121,3
"<{H},{E}>",0.0074188951295163,2
"<{D},{B}>",0.0074188951295163,2
"<{T},{C},{K}>",0.00739095202168385,3
"<{T},{A},{C}>",0.00733506580601895,3
"<{M},{B},{A}>",0.00733506580601895,3
"<{C},{T},{K}>",0.00730712269818649,3
"<{A},{T},{H}>",0.00727917959035404,3
"<{F},{P}>",0.00726520803643781,2
"<{T},{M},{H}>",0.007153435605108,3
"<{C},{F},{K}>",0.00713946405119177,3
"<{C},{A},{H}>",0.00713946405119177,3
"<{F},{M},{K}>",0.00712549249727555,3
"<{C},{H},{F}>",0.00711152094335932,3
"<{M},{F},{E}>",0.00706960628161064,3
"<{T},{P}>",0.00704166317377819,2
"<{F},{M},{E}>",0.00699974851202951,3
"<{A},{T},{M}>",0.00698577695811328,3
"<{T},{F},{K}>",0.00695783385028083,3
"<{C},{M},{S}>",0.00692989074244838,3
"<{A},{C},{B}>",0.0068879760806997,3
"<{M},{T},{E}>",0.00687400452678347,3
"<{T},{B},{C}>",0.00679017520328611,3
"<{F},{A},{M}>",0.0067342889876212,3
"<{B},{E}>",0.00670634587978875,2
"<{A},{F},{H}>",0.00666443121804007,3
"<{C},{B},{F}>",0.00666443121804007,3
"<{F},{A},{S}>",0.00665045966412384,3
"<{E},{M},{T}>",0.00663648811020762,3
"<{M},{N}>",0.00663648811020762,2
"<{F},{B},{C}>",0.00658060189454271,3
"<{F},{B},{T}>",0.00656663034062648,3
"<{U},{C}>",0.00656663034062648,2
"<{C},{M},{K}>",0.00655265878671026,3
"<{M},{C},{E}>",0.00652471567887781,3
"<{A},{M},{S}>",0.00651074412496158,3
"<{C},{B},{A}>",0.00649677257104535,3
"<{F},{K},{C}>",0.00648280101712913,3
"<{F},{K},{T}>",0.0064688294632129,3
"<{A},{T},{S}>",0.00644088635538045,3
"<{S},{K}>",0.00644088635538045,2
"<{U},{F}>",0.00644088635538045,2
"<{T,C}>",0.00641294324754799,2
"<{T},{M},{B}>",0.00639897169363177,3
"<{M},{K},{H}>",0.00638500013971554,3
"<{K},{D}>",0.00634308547796686,2
"<{C},{F},{S}>",0.00632911392405063,3
"<{E},{I}>",0.00631514237013441,2
"<{B},{D}>",0.00631514237013441,2
"<{M},{H},{B}>",0.00630117081621818,3
"<{A},{F},{S}>",0.00628719926230195,3
"<{U},{T}>",0.00624528460055327,2
"<{E},{F},{T}>",0.00624528460055327,3
"<{C},{T},{S}>",0.00623131304663705,3
"<{T},{H},{F}>",0.00621734149272082,3
"<{F},{C},{S}>",0.00620336993880459,3
"<{E},{M},{F}>",0.00614748372313969,3
"<{G},{T}>",0.00611954061530723,2
"<{T},{B},{M}>",0.00611954061530723,3
"<{A},{T},{B}>",0.00610556906139101,3
"<{E},{C},{T}>",0.00609159750747478,3
"<{M},{E},{S}>",0.00609159750747478,3
"<{E},{T},{C}>",0.00609159750747478,3
"<{U},{M}>",0.00603571129180987,2
"<{F},{B},{M}>",0.00603571129180987,3
"<{T},{B},{F}>",0.00603571129180987,3
"<{T},{C},{S}>",0.00602173973789365,3
"<{C},{B},{M}>",0.00602173973789365,3
"<{K},{E}>",0.00602173973789365,2
"<{C},{M},{E}>",0.00600776818397742,3
